#RPLIDAR SCAN DATA
#COUNT=586
#Angule	Distance	Quality
359.7968 2849.0 188
0.1978 2850.0 188
0.5933 2850.0 188
0.9833 2845.0 188
1.3733 2841.0 188
1.7798 2842.0 188
2.1698 2842.0 188
2.5598 2839.0 188
2.9498 2834.0 188
3.3563 2836.0 188
3.7463 2846.0 188
4.1364 2850.0 188
4.5428 2843.0 188
4.9329 2846.0 188
5.3229 2862.0 188
5.7184 2869.0 188
6.1249 2863.0 188
6.5149 2866.0 188
6.9049 2883.0 188
7.3114 2887.0 188
7.7014 2875.0 188
8.0914 2876.0 188
8.4814 2898.0 188
8.8715 2909.0 188
12.3871 1382.0 188
12.7771 1375.0 188
13.1671 1371.0 188
14.7327 1716.0 188
15.1227 1717.0 188
15.5127 1721.0 188
15.9027 1725.0 188
16.2927 1728.0 188
16.6827 1726.0 188
17.0728 1722.0 188
17.4683 1725.0 188
17.8583 1733.0 188
18.2483 1736.0 188
18.6383 1740.0 188
19.0283 1748.0 188
19.4183 1745.0 188
19.8083 1746.0 188
20.1984 1750.0 188
20.5884 1751.0 188
20.9839 1762.0 188
21.3739 1772.0 188
21.7639 1772.0 188
22.1539 1775.0 188
22.5439 1788.0 188
22.9504 1794.0 188
23.3240 1784.0 188
24.4995 1768.0 188
24.8895 1756.0 188
25.2795 1753.0 188
25.6696 1758.0 188
26.0596 1764.0 188
26.4496 1770.0 188
27.2296 1882.0 188
27.6196 1884.0 188
29.5587 728.0 188
29.9487 729.0 188
30.3387 729.0 188
33.0743 1530.0 188
33.4479 1533.0 188
33.8434 1542.0 188
34.2334 1552.0 188
34.6234 1561.0 188
35.0134 1568.0 188
35.4034 1571.0 188
38.1390 1491.0 188
38.5291 1495.0 188
39.2926 1473.0 188
41.2482 625.0 188
41.6382 617.0 188
42.4017 594.0 188
42.7917 576.0 188
43.1873 573.0 188
43.5773 573.0 188
43.9673 573.0 188
44.3573 571.0 188
44.7473 569.0 188
45.1208 564.0 188
45.5109 561.0 188
45.9009 561.0 188
46.2964 562.0 188
46.6864 561.0 188
47.0764 558.0 188
47.4664 557.0 188
47.8564 555.0 188
48.2300 555.0 188
48.6200 559.0 188
49.4055 555.0 188
50.5756 549.0 188
50.9656 554.0 188
51.3391 557.0 188
51.7291 556.0 188
52.1246 557.0 188
52.5146 556.0 188
52.9047 553.0 188
53.2947 556.0 188
53.6847 560.0 188
54.0747 557.0 188
54.4482 552.0 188
55.2338 555.0 188
55.6238 558.0 188
56.0138 554.0 188
56.4038 552.0 188
56.7938 551.0 188
57.1838 554.0 188
57.5574 557.0 188
57.9529 555.0 188
58.3429 553.0 188
58.7329 558.0 188
59.1229 563.0 188
59.5129 561.0 188
59.9030 562.0 188
60.2930 566.0 188
60.6665 566.0 188
61.0620 562.0 188
61.4520 560.0 188
61.8420 563.0 188
62.2321 567.0 188
63.0121 576.0 188
63.4021 586.0 188
63.7811 591.0 188
64.1711 599.0 188
64.5612 604.0 188
64.9512 608.0 188
65.3412 610.0 188
65.7312 616.0 188
66.1212 625.0 188
66.5112 633.0 188
68.0603 657.0 188
72.7625 323.0 188
73.9490 315.0 188
74.3390 307.0 188
74.7290 307.0 188
75.1355 310.0 188
75.5310 311.0 188
75.9210 309.0 188
76.3110 310.0 188
76.7175 314.0 188
77.4976 310.0 188
77.8876 304.0 188
78.2776 304.0 188
78.6841 304.0 188
79.0741 305.0 188
79.4641 306.0 188
79.8541 306.0 188
80.2606 305.0 188
80.6561 305.0 188
81.0461 305.0 188
81.4362 305.0 188
81.8262 308.0 188
82.2327 312.0 188
82.6227 316.0 188
83.0127 316.0 188
83.4027 313.0 188
84.1992 306.0 188
84.5892 303.0 188
84.9792 308.0 188
85.3857 313.0 188
85.7648 316.0 188
86.1548 314.0 188
86.5448 311.0 188
86.9348 311.0 188
87.3248 313.0 188
87.7148 312.0 188
88.1049 312.0 188
88.8904 309.0 188
89.2804 305.0 188
89.6704 306.0 188
90.0604 306.0 188
90.4504 307.0 188
90.8405 310.0 188
91.2305 312.0 188
92.0105 311.0 188
92.4060 311.0 188
92.7960 317.0 188
93.1696 318.0 188
93.5596 313.0 188
94.3396 312.0 188
94.7296 316.0 188
95.1196 317.0 188
95.5151 318.0 188
95.9052 317.0 188
96.2952 316.0 188
96.6852 313.0 188
97.0752 312.0 188
97.4652 315.0 188
97.8552 318.0 188
98.2452 318.0 188
98.6353 314.0 188
99.0308 310.0 188
99.4208 310.0 188
99.8108 309.0 188
100.2008 308.0 188
100.5908 306.0 188
101.3708 310.0 188
101.7609 316.0 188
102.9364 316.0 188
103.3264 316.0 188
103.7164 320.0 188
104.1064 325.0 188
104.4965 326.0 188
104.8865 327.0 188
105.2765 331.0 188
106.4520 332.0 188
107.2321 340.0 188
108.0121 339.0 188
108.4021 330.0 188
108.7921 330.0 188
109.1821 328.0 188
109.5776 327.0 188
109.9677 329.0 188
110.3577 331.0 188
110.7477 331.0 188
111.1377 331.0 188
111.5277 331.0 188
112.3077 338.0 188
112.6978 343.0 188
113.0933 340.0 188
113.4833 340.0 188
113.8733 341.0 188
115.0433 342.0 188
115.4333 342.0 188
